City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Butaritari,KI,3.0707,172.7902,82.11,76,90,8.14,overcast clouds
79,Barrow,US,71.2906,-156.7887,-14.78,70,1,12.66,haze
80,Cape Town,ZA,-33.9258,18.4232,61.27,77,18,5.17,few clouds
81,East London,ZA,-33.0153,27.9116,66.07,80,99,5.3,overcast clouds
82,Bengkulu,ID,-3.8004,102.2655,79.72,75,100,3.56,overcast clouds
83,Puerto Ayora,EC,-0.7393,-90.3518,68.79,91,39,6.69,scattered clouds
84,Ponta Do Sol,PT,32.6667,-17.1,62.71,77,90,4.88,overcast clouds
85,Vardo,NO,70.3705,31.1107,34.11,54,100,31.99,overcast clouds
86,Bardiyah,LY,31.7561,25.0865,62.17,59,100,18.86,overcast clouds
87,Shache,CN,38.4167,77.2406,24.64,41,34,1.7,scattered clouds
88,Te Anau,NZ,-45.4167,167.7167,70.92,49,8,2.75,clear sky
89,Saldanha,ZA,-33.0117,17.9442,59.94,85,57,5.66,broken clouds
90,Georgetown,MY,5.4112,100.3354,82.89,82,20,3.44,few clouds
91,Dabakala,CI,8.3667,-4.4333,77.16,69,100,3.42,overcast clouds
92,Arraial Do Cabo,BR,-22.9661,-42.0278,74.12,87,100,14.92,light rain
93,Nazret,ET,8.55,39.2667,54.73,45,88,3.96,overcast clouds
94,Vestmannaeyjar,IS,63.4427,-20.2734,26.55,75,5,19.42,clear sky
95,Olecko,PL,54.0337,22.507,15.94,94,20,6.17,few clouds
96,Merauke,ID,-8.4667,140.3333,86.56,67,100,3.83,overcast clouds
97,Hithadhoo,MV,-0.6,73.0833,81.66,74,100,6.98,overcast clouds
98,Sibu,MY,2.3,111.8167,87.04,61,89,1.34,overcast clouds
99,Severo-Yeniseyskiy,RU,60.3725,93.0408,0.03,93,100,9.35,overcast clouds
100,Labuhan,ID,-6.8844,112.2051,83.44,73,87,8.7,light rain
101,Bredasdorp,ZA,-34.5322,20.0403,56.28,79,89,6.31,overcast clouds
102,Ternate,ID,0.8,127.4,83.21,73,99,4.5,overcast clouds
103,Santa Marta De Tormes,ES,40.9506,-5.6272,43.99,85,15,0.0,mist
104,Nhulunbuy,AU,-12.2333,136.7667,90.21,58,75,6.91,broken clouds
105,Moron,AR,-34.6534,-58.6198,67.01,71,47,5.99,scattered clouds
106,Gawler,AU,-34.6,138.7333,92.64,37,44,14.63,scattered clouds
107,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.82,95,88,1.45,overcast clouds
108,Buzmeyin,TM,38.0507,58.2056,58.82,31,41,4.9,scattered clouds
109,Chuy,UY,-33.6971,-53.4616,62.29,93,50,7.25,scattered clouds
110,Roebourne,AU,-20.7833,117.1333,101.07,17,0,7.47,clear sky
111,Hobart,AU,-42.8794,147.3294,88.02,38,75,4.0,broken clouds
112,Grand Gaube,MU,-20.0064,57.6608,74.37,83,1,3.0,clear sky
113,Wukari,NG,7.85,9.7833,73.67,26,35,0.43,scattered clouds
114,Lebu,CL,-37.6167,-73.65,52.81,92,8,10.76,clear sky
115,Champaign,US,40.1334,-88.2001,43.03,78,1,3.0,clear sky
116,Castro,BR,-24.7911,-50.0119,61.3,60,0,3.58,clear sky
117,Almaznyy,RU,48.0448,40.045,33.94,99,100,14.56,snow
118,Hambantota,LK,6.1241,81.1185,77.83,85,17,7.0,few clouds
119,Kidal,ML,18.4411,1.4078,73.87,14,51,10.65,broken clouds
120,Nanortalik,GL,60.1432,-45.2371,37.72,89,100,26.51,moderate rain
121,Aksarka,RU,66.5606,67.7975,-0.33,95,100,10.0,overcast clouds
122,Nikolskoye,RU,59.7035,30.7861,22.91,92,100,8.12,overcast clouds
123,Salalah,OM,17.0151,54.0924,75.29,31,0,14.97,clear sky
124,Yanam,IN,16.7333,82.2167,75.6,70,6,7.11,clear sky
125,Ust-Tsilma,RU,65.441,52.1498,16.02,91,100,12.66,light snow
126,Sioux Lookout,CA,50.1001,-91.917,6.55,97,100,1.77,overcast clouds
127,Sheboygan,US,43.7333,-87.9334,35.58,65,1,3.0,clear sky
128,Beringovskiy,RU,63.05,179.3167,17.15,93,100,9.28,overcast clouds
129,Sola,VU,-13.8833,167.55,82.18,70,59,5.88,broken clouds
130,Iskateley,RU,67.6803,53.1512,10.47,72,100,24.29,overcast clouds
131,Vallenar,CL,-28.5708,-70.7581,66.79,56,0,3.53,clear sky
132,Nizhniy Odes,RU,63.6445,54.856,13.75,94,100,13.02,snow
133,Nieuw Amsterdam,SR,5.8833,-55.0833,78.03,91,93,8.41,overcast clouds
134,Kudahuvadhoo,MV,2.6708,72.8944,82.2,75,35,10.67,scattered clouds
135,Tomatlan,MX,19.9333,-105.25,73.24,88,91,2.01,overcast clouds
136,Chama,CH,47.1821,8.4636,41.77,93,90,1.01,overcast clouds
137,Saint-Philippe,RE,-21.3585,55.7679,76.59,78,74,7.99,broken clouds
138,Nouadhibou,MR,20.931,-17.0347,67.14,43,0,19.46,clear sky
139,Luganville,VU,-15.5333,167.1667,85.75,67,22,6.26,few clouds
140,Kavieng,PG,-2.5744,150.7967,85.62,65,32,9.62,scattered clouds
141,Bilma,NE,18.6853,12.9164,67.82,31,53,11.01,broken clouds
142,Victor Harbor,AU,-35.5667,138.6167,93.2,74,27,3.0,scattered clouds
143,Pisco,PE,-13.7,-76.2167,64.45,82,0,13.8,clear sky
144,Basco,PH,20.4487,121.9702,72.66,73,100,40.0,overcast clouds
145,Kilindoni,TZ,-7.9139,39.6668,81.05,75,84,10.2,broken clouds
146,Codrington,AU,-38.2667,141.9667,69.31,64,12,11.54,few clouds
147,Kropotkin,RU,45.4375,40.5756,47.48,76,81,30.33,broken clouds
148,Noumea,NC,-22.2763,166.4572,88.0,99,36,13.69,scattered clouds
149,Bluff,NZ,-46.6,168.3333,68.81,71,14,17.76,few clouds
150,Gaozhou,CN,21.9392,110.8461,63.84,31,38,5.73,scattered clouds
151,Mar Del Plata,AR,-38.0023,-57.5575,59.88,73,87,1.99,light rain
152,Namibe,AO,-15.1961,12.1522,68.59,84,100,3.6,overcast clouds
153,Port Elizabeth,ZA,-33.918,25.5701,63.1,87,75,2.8,broken clouds
154,Zabaykalsk,RU,49.6333,117.3167,10.87,86,36,9.55,scattered clouds
155,Isangel,VU,-19.55,169.2667,87.91,70,75,6.91,broken clouds
156,Bridlington,GB,54.0831,-0.1919,51.98,82,100,30.33,overcast clouds
157,Komsomolskiy,UZ,40.4272,71.7189,31.42,74,0,2.3,clear sky
158,Sinnamary,GF,5.3833,-52.95,77.9,90,100,8.23,moderate rain
159,Iqaluit,CA,63.7506,-68.5145,3.56,97,65,5.26,broken clouds
160,Kincardine,GB,56.0667,-3.7167,46.51,88,100,8.52,overcast clouds
161,Mount Pleasant,US,32.7941,-79.8626,53.01,88,1,1.99,clear sky
162,Esperance,AU,-33.8667,121.9,64.63,53,9,5.14,clear sky
163,Najran,SA,17.4924,44.1277,52.02,44,0,1.32,clear sky
164,Longyearbyen,SJ,78.2186,15.6401,4.84,66,0,19.57,clear sky
165,Bulgan,MN,48.8125,103.5347,13.17,81,16,4.07,few clouds
166,Sibolga,ID,1.7427,98.7792,80.53,76,62,1.19,broken clouds
167,Kyra,RU,49.5776,111.9753,13.15,81,48,3.67,scattered clouds
168,Royan,FR,45.6285,-1.0281,53.58,87,96,21.61,overcast clouds
169,Nishihara,JP,26.1842,127.7558,65.86,52,75,24.16,broken clouds
170,Alexandria,EG,31.2156,29.9553,67.35,63,100,17.38,overcast clouds
171,Tonstad,NO,58.6626,6.7169,36.25,90,100,4.52,overcast clouds
172,Mandalgovi,MN,45.7625,106.2708,19.83,47,15,5.95,few clouds
173,Chany,RU,55.3121,76.7647,5.18,92,41,6.13,scattered clouds
174,Tuktoyaktuk,CA,69.4541,-133.0374,-27.26,99,32,3.33,scattered clouds
175,Severo-Kurilsk,RU,50.6789,156.125,34.3,95,100,16.78,light rain
176,Avarua,CK,-21.2078,-159.775,78.85,78,75,14.97,broken clouds
